"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	523	11402	4586.9
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	572	7818	7316.4
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	545	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	331	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"100+ years"	"100+"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"< 1 year"	"1"	133	16117	825.2
	"Alabama"	"01"	"Medium Metro"	"3"	"1-4 years"	"1-4"	24	67242	35.7
	"Alabama"	"01"	"Medium Metro"	"3"	"5-9 years"	"5-9"	16	82989	Unreliable
	"Alabama"	"01"	"Medium Metro"	"3"	"10-14 years"	"10-14"	22	87445	25.2
	"Alabama"	"01"	"Medium Metro"	"3"	"15-19 years"	"15-19"	71	91900	77.3
	"Alabama"	"01"	"Medium Metro"	"3"	"20-24 years"	"20-24"	117	92228	126.9
	"Alabama"	"01"	"Medium Metro"	"3"	"25-29 years"	"25-29"	114	87428	130.4
	"Alabama"	"01"	"Medium Metro"	"3"	"30-34 years"	"30-34"	141	82991	169.9
	"Alabama"	"01"	"Medium Metro"	"3"	"35-39 years"	"35-39"	154	78919	195.1
	"Alabama"	"01"	"Medium Metro"	"3"	"40-44 years"	"40-44"	224	83704	267.6
	"Alabama"	"01"	"Medium Metro"	"3"	"45-49 years"	"45-49"	371	93090	398.5
	"Alabama"	"01"	"Medium Metro"	"3"	"50-54 years"	"50-54"	625	93952	665.2
	"Alabama"	"01"	"Medium Metro"	"3"	"55-59 years"	"55-59"	749	81843	915.2
	"Alabama"	"01"	"Medium Metro"	"3"	"60-64 years "	"60-64"	885	70886	1248.5
	"Alabama"	"01"	"Medium Metro"	"3"	"65-69 years"	"65-69"	962	51791	1857.5
	"Alabama"	"01"	"Medium Metro"	"3"	"70-74 years"	"70-74"	1074	39506	2718.6
	"Alabama"	"01"	"Medium Metro"	"3"	"75-79 years"	"75-79"	1236	29928	4129.9
	"Alabama"	"01"	"Medium Metro"	"3"	"80-84 years"	"80-84"	1482	20727	7150.1
	"Alabama"	"01"	"Medium Metro"	"3"	"85-89 years"	"85-89"	1473	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"90-94 years"	"90-94"	924	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"95-99 years"	"95-99"	342	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"100+ years"	"100+"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"< 1 year"	"1"	114	14249	800.1
	"Alabama"	"01"	"Small Metro"	"4"	"1-4 years"	"1-4"	18	59675	Unreliable
	"Alabama"	"01"	"Small Metro"	"4"	"5-9 years"	"5-9"	11	75357	Unreliable
	"Alabama"	"01"	"Small Metro"	"4"	"10-14 years"	"10-14"	11	79909	Unreliable
	"Alabama"	"01"	"Small Metro"	"4"	"15-19 years"	"15-19"	46	89776	51.2
	"Alabama"	"01"	"Small Metro"	"4"	"20-24 years"	"20-24"	91	107180	84.9
	"Alabama"	"01"	"Small Metro"	"4"	"25-29 years"	"25-29"	117	76694	152.6
	"Alabama"	"01"	"Small Metro"	"4"	"30-34 years"	"30-34"	131	74782	175.2
	"Alabama"	"01"	"Small Metro"	"4"	"35-39 years"	"35-39"	154	73501	209.5
	"Alabama"	"01"	"Small Metro"	"4"	"40-44 years"	"40-44"	245	78201	313.3
	"Alabama"	"01"	"Small Metro"	"4"	"45-49 years"	"45-49"	362	83125	435.5
	"Alabama"	"01"	"Small Metro"	"4"	"50-54 years"	"50-54"	568	86369	657.6
	"Alabama"	"01"	"Small Metro"	"4"	"55-59 years"	"55-59"	762	81147	939.0
	"Alabama"	"01"	"Small Metro"	"4"	"60-64 years "	"60-64"	998	75243	1326.4
	"Alabama"	"01"	"Small Metro"	"4"	"65-69 years"	"65-69"	1080	56687	1905.2
	"Alabama"	"01"	"Small Metro"	"4"	"70-74 years"	"70-74"	1221	43419	2812.1
	"Alabama"	"01"	"Small Metro"	"4"	"75-79 years"	"75-79"	1541	33116	4653.3
	"Alabama"	"01"	"Small Metro"	"4"	"80-84 years"	"80-84"	1728	23763	7271.8
	"Alabama"	"01"	"Small Metro"	"4"	"85-89 years"	"85-89"	1764	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"90-94 years"	"90-94"	1005	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"95-99 years"	"95-99"	401	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"100+ years"	"100+"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"< 1 year"	"1"	54	6715	804.2
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"1-4 years"	"1-4"	15	27004	Unreliable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"15-19 years"	"15-19"	17	35403	Unreliable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"20-24 years"	"20-24"	54	36181	149.2
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"25-29 years"	"25-29"	41	32777	125.1
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"30-34 years"	"30-34"	57	31863	178.9
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"35-39 years"	"35-39"	75	32439	231.2
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"40-44 years"	"40-44"	116	34286	338.3
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"45-49 years"	"45-49"	182	36524	498.3
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"50-54 years"	"50-54"	301	38546	780.9
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"55-59 years"	"55-59"	386	35748	1079.8
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"60-64 years "	"60-64"	491	33709	1456.6
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	582	26147	2225.9
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	656	20230	3242.7
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	748	15013	4982.3
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	804	10321	7789.9
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	704	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	473	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"95-99 years"	"95-99"	202	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"100+ years"	"100+"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"< 1 year"	"1"	56	7145	783.8
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"1-4 years"	"1-4"	25	30996	80.7
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"5-9 years"	"5-9"	13	39565	Unreliable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"10-14 years"	"10-14"	11	42765	Unreliable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"15-19 years"	"15-19"	31	43113	71.9
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"20-24 years"	"20-24"	55	39300	139.9
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"25-29 years"	"25-29"	58	34962	165.9
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"30-34 years"	"30-34"	78	36516	213.6
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"35-39 years"	"35-39"	113	37841	298.6
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"40-44 years"	"40-44"	129	40386	319.4
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"45-49 years"	"45-49"	267	44345	602.1
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"50-54 years"	"50-54"	396	46886	844.6
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"55-59 years"	"55-59"	488	44606	1094.0
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"60-64 years "	"60-64"	604	42370	1425.5
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"65-69 years"	"65-69"	677	33431	2025.1
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"70-74 years"	"70-74"	817	26423	3092.0
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"75-79 years"	"75-79"	937	19565	4789.2
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	1025	13781	7437.8
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	982	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"90-94 years"	"90-94"	616	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"95-99 years"	"95-99"	284	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"100+ years"	"100+"	73	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"< 1 year"	"1"	21	5911	355.3
	"Alaska"	"02"	"Medium Metro"	"3"	"15-19 years"	"15-19"	14	27806	Unreliable
	"Alaska"	"02"	"Medium Metro"	"3"	"20-24 years"	"20-24"	35	30604	114.4
	"Alaska"	"02"	"Medium Metro"	"3"	"25-29 years"	"25-29"	37	31561	117.2
	"Alaska"	"02"	"Medium Metro"	"3"	"30-34 years"	"30-34"	29	27346	106.0
	"Alaska"	"02"	"Medium Metro"	"3"	"35-39 years"	"35-39"	56	24622	227.4
	"Alaska"	"02"	"Medium Metro"	"3"	"40-44 years"	"40-44"	61	25993	234.7
	"Alaska"	"02"	"Medium Metro"	"3"	"45-49 years"	"45-49"	94	28416	330.8
	"Alaska"	"02"	"Medium Metro"	"3"	"50-54 years"	"50-54"	149	29840	499.3
	"Alaska"	"02"	"Medium Metro"	"3"	"55-59 years"	"55-59"	182	26548	685.6
	"Alaska"	"02"	"Medium Metro"	"3"	"60-64 years "	"60-64"	190	19870	956.2
	"Alaska"	"02"	"Medium Metro"	"3"	"65-69 years"	"65-69"	190	12024	1580.2
	"Alaska"	"02"	"Medium Metro"	"3"	"70-74 years"	"70-74"	184	7209	2552.4
	"Alaska"	"02"	"Medium Metro"	"3"	"75-79 years"	"75-79"	175	4773	3666.5
	"Alaska"	"02"	"Medium Metro"	"3"	"80-84 years"	"80-84"	186	3283	5665.5
	"Alaska"	"02"	"Medium Metro"	"3"	"85-89 years"	"85-89"	206	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"90-94 years"	"90-94"	103	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"95-99 years"	"95-99"	37	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"100+ years"	"100+"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Small Metro"	"4"	"20-24 years"	"20-24"	10	10342	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"35-39 years"	"35-39"	10	6314	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"40-44 years"	"40-44"	10	6020	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"45-49 years"	"45-49"	21	6444	325.9
	"Alaska"	"02"	"Small Metro"	"4"	"50-54 years"	"50-54"	28	6860	408.2
	"Alaska"	"02"	"Small Metro"	"4"	"55-59 years"	"55-59"	40	6478	617.5
	"Alaska"	"02"	"Small Metro"	"4"	"60-64 years "	"60-64"	48	4936	972.4
	"Alaska"	"02"	"Small Metro"	"4"	"65-69 years"	"65-69"	48	2806	1710.6
	"Alaska"	"02"	"Small Metro"	"4"	"70-74 years"	"70-74"	28	1670	1676.6
	"Alaska"	"02"	"Small Metro"	"4"	"75-79 years"	"75-79"	36	999	3603.6
	"Alaska"	"02"	"Small Metro"	"4"	"80-84 years"	"80-84"	48	726	6611.6
	"Alaska"	"02"	"Small Metro"	"4"	"85-89 years"	"85-89"	43	Not Applicable	Not Applicable
	"Alaska"	"02"	"Small Metro"	"4"	"90-94 years"	"90-94"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"40-44 years"	"40-44"	13	3232	Unreliable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"45-49 years"	"45-49"	14	3641	Unreliable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"50-54 years"	"50-54"	21	4032	520.8
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"55-59 years"	"55-59"	19	3747	Unreliable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"60-64 years "	"60-64"	17	2953	Unreliable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	21	1646	1275.8
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	28	1040	2692.3
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	22	607	3624.4
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	37	486	7613.2
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	29	Not Applicable	Not Applicable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	24	Not Applicable	Not Applicable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"< 1 year"	"1"	15	3034	Unreliable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"15-19 years"	"15-19"	19	13665	Unreliable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"20-24 years"	"20-24"	32	12729	251.4
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"25-29 years"	"25-29"	35	12789	273.7
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"30-34 years"	"30-34"	24	11849	202.5
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"35-39 years"	"35-39"	16	10918	Unreliable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"40-44 years"	"40-44"	27	12010	224.8
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"45-49 years"	"45-49"	49	14269	343.4
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"50-54 years"	"50-54"	86	16109	533.9
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"55-59 years"	"55-59"	110	15065	730.2
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"60-64 years "	"60-64"	115	11288	1018.8
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"65-69 years"	"65-69"	103	6986	1474.4
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"70-74 years"	"70-74"	114	4321	2638.3
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"75-79 years"	"75-79"	117	2785	4201.1
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	112	1758	6370.9
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	82	Not Applicable	Not Applicable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"90-94 years"	"90-94"	64	Not Applicable	Not Applicable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"95-99 years"	"95-99"	22	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"< 1 year"	"1"	314	54225	579.1
	"Arizona"	"04"	"Large Central Metro"	"1"	"1-4 years"	"1-4"	62	224749	27.6
	"Arizona"	"04"	"Large Central Metro"	"1"	"5-9 years"	"5-9"	24	281863	8.5
	"Arizona"	"04"	"Large Central Metro"	"1"	"10-14 years"	"10-14"	43	280706	15.3
	"Arizona"	"04"	"Large Central Metro"	"1"	"15-19 years"	"15-19"	121	271175	44.6
	"Arizona"	"04"	"Large Central Metro"	"1"	"20-24 years"	"20-24"	248	278486	89.1
	"Arizona"	"04"	"Large Central Metro"	"1"	"25-29 years"	"25-29"	241	280156	86.0
	"Arizona"	"04"	"Large Central Metro"	"1"	"30-34 years"	"30-34"	279	271535	102.7
	"Arizona"	"04"	"Large Central Metro"	"1"	"35-39 years"	"35-39"	345	260134	132.6
	"Arizona"	"04"	"Large Central Metro"	"1"	"40-44 years"	"40-44"	478	266429	179.4
	"Arizona"	"04"	"Large Central Metro"	"1"	"45-49 years"	"45-49"	759	259020	293.0
	"Arizona"	"04"	"Large Central Metro"	"1"	"50-54 years"	"50-54"	1087	249970	434.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"55-59 years"	"55-59"	1370	216107	633.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"60-64 years "	"60-64"	1775	201674	880.1
	"Arizona"	"04"	"Large Central Metro"	"1"	"65-69 years"	"65-69"	2032	153497	1323.8
	"Arizona"	"04"	"Large Central Metro"	"1"	"70-74 years"	"70-74"	2180	115180	1892.7
	"Arizona"	"04"	"Large Central Metro"	"1"	"75-79 years"	"75-79"	2825	86847	3252.8
	"Arizona"	"04"	"Large Central Metro"	"1"	"80-84 years"	"80-84"	3610	65816	5485.0
	"Arizona"	"04"	"Large Central Metro"	"1"	"85-89 years"	"85-89"	3997	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"90-94 years"	"90-94"	2834	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"95-99 years"	"95-99"	1103	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"100+ years"	"100+"	208	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"< 1 year"	"1"	26	5219	498.2
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	15	23037	Unreliable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	20	21489	93.1
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	21	26492	79.3
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	25	29001	86.2
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	37	26955	137.3
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	35	23917	146.3
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	83	22467	369.4
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	120	22533	532.6
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	166	21817	760.9
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	182	23534	773.3
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	256	20513	1248.0
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	271	15486	1750.0
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	298	10047	2966.1
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	317	6206	5108.0
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	276	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	170	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	53	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"100+ years"	"100+"	14	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"< 1 year"	"1"	58	12085	479.9
	"Arizona"	"04"	"Medium Metro"	"3"	"1-4 years"	"1-4"	15	50239	Unreliable
	"Arizona"	"04"	"Medium Metro"	"3"	"5-9 years"	"5-9"	11	61331	Unreliable
	"Arizona"	"04"	"Medium Metro"	"3"	"15-19 years"	"15-19"	36	67394	53.4
	"Arizona"	"04"	"Medium Metro"	"3"	"20-24 years"	"20-24"	78	78937	98.8
	"Arizona"	"04"	"Medium Metro"	"3"	"25-29 years"	"25-29"	78	67088	116.3
	"Arizona"	"04"	"Medium Metro"	"3"	"30-34 years"	"30-34"	98	61477	159.4
	"Arizona"	"04"	"Medium Metro"	"3"	"35-39 years"	"35-39"	98	57269	171.1
	"Arizona"	"04"	"Medium Metro"	"3"	"40-44 years"	"40-44"	161	57957	277.8
	"Arizona"	"04"	"Medium Metro"	"3"	"45-49 years"	"45-49"	236	62281	378.9
	"Arizona"	"04"	"Medium Metro"	"3"	"50-54 years"	"50-54"	333	67488	493.4
	"Arizona"	"04"	"Medium Metro"	"3"	"55-59 years"	"55-59"	476	64815	734.4
	"Arizona"	"04"	"Medium Metro"	"3"	"60-64 years "	"60-64"	627	61590	1018.0
	"Arizona"	"04"	"Medium Metro"	"3"	"65-69 years"	"65-69"	622	48273	1288.5
	"Arizona"	"04"	"Medium Metro"	"3"	"70-74 years"	"70-74"	747	36895	2024.7
	"Arizona"	"04"	"Medium Metro"	"3"	"75-79 years"	"75-79"	881	28598	3080.6
	"Arizona"	"04"	"Medium Metro"	"3"	"80-84 years"	"80-84"	1189	22022	5399.1
	"Arizona"	"04"	"Medium Metro"	"3"	"85-89 years"	"85-89"	1355	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"90-94 years"	"90-94"	913	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"95-99 years"	"95-99"	369	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"100+ years"	"100+"	71	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"< 1 year"	"1"	69	10519	656.0
	"Arizona"	"04"	"Small Metro"	"4"	"1-4 years"	"1-4"	13	43049	Unreliable
	"Arizona"	"04"	"Small Metro"	"4"	"10-14 years"	"10-14"	10	55353	Unreliable
	"Arizona"	"04"	"Small Metro"	"4"	"15-19 years"	"15-19"	34	61810	55.0
	"Arizona"	"04"	"Small Metro"	"4"	"20-24 years"	"20-24"	60	62458	96.1
	"Arizona"	"04"	"Small Metro"	"4"	"25-29 years"	"25-29"	80	50974	156.9
	"Arizona"	"04"	"Small Metro"	"4"	"30-34 years"	"30-34"	58	46575	124.5
	"Arizona"	"04"	"Small Metro"	"4"	"35-39 years"	"35-39"	73	44174	165.3
	"Arizona"	"04"	"Small Metro"	"4"	"40-44 years"	"40-44"	137	47707	287.2
	"Arizona"	"04"	"Small Metro"	"4"	"45-49 years"	"45-49"	225	53681	419.1
	"Arizona"	"04"	"Small Metro"	"4"	"50-54 years"	"50-54"	356	60285	590.5
	"Arizona"	"04"	"Small Metro"	"4"	"55-59 years"	"55-59"	473	60930	776.3
	"Arizona"	"04"	"Small Metro"	"4"	"60-64 years "	"60-64"	670	61897	1082.4
	"Arizona"	"04"	"Small Metro"	"4"	"65-69 years"	"65-69"	750	54342	1380.1
	"Arizona"	"04"	"Small Metro"	"4"	"70-74 years"	"70-74"	928	44584	2081.5
	"Arizona"	"04"	"Small Metro"	"4"	"75-79 years"	"75-79"	1131	31779	3559.0
	"Arizona"	"04"	"Small Metro"	"4"	"80-84 years"	"80-84"	1242	21897	5672.0
	"Arizona"	"04"	"Small Metro"	"4"	"85-89 years"	"85-89"	1140	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"90-94 years"	"90-94"	795	Not Applicable	Not Applicable
