"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	459	25478	1801.6
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	471	18544	2539.9
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	548	12755	4296.4
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	571	8185	6976.2
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	577	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	337	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	121	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"100+ years"	"100+"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"< 1 year"	"1"	152	16056	946.7
	"Alabama"	"01"	"Medium Metro"	"3"	"1-4 years"	"1-4"	17	66017	Unreliable
	"Alabama"	"01"	"Medium Metro"	"3"	"5-9 years"	"5-9"	20	84139	23.8
	"Alabama"	"01"	"Medium Metro"	"3"	"10-14 years"	"10-14"	19	85548	Unreliable
	"Alabama"	"01"	"Medium Metro"	"3"	"15-19 years"	"15-19"	73	85288	85.6
	"Alabama"	"01"	"Medium Metro"	"3"	"20-24 years"	"20-24"	104	92194	112.8
	"Alabama"	"01"	"Medium Metro"	"3"	"25-29 years"	"25-29"	106	90969	116.5
	"Alabama"	"01"	"Medium Metro"	"3"	"30-34 years"	"30-34"	133	86370	154.0
	"Alabama"	"01"	"Medium Metro"	"3"	"35-39 years"	"35-39"	178	79312	224.4
	"Alabama"	"01"	"Medium Metro"	"3"	"40-44 years"	"40-44"	253	82595	306.3
	"Alabama"	"01"	"Medium Metro"	"3"	"45-49 years"	"45-49"	338	84250	401.2
	"Alabama"	"01"	"Medium Metro"	"3"	"50-54 years"	"50-54"	584	95181	613.6
	"Alabama"	"01"	"Medium Metro"	"3"	"55-59 years"	"55-59"	816	88264	924.5
	"Alabama"	"01"	"Medium Metro"	"3"	"60-64 years "	"60-64"	944	73383	1286.4
	"Alabama"	"01"	"Medium Metro"	"3"	"65-69 years"	"65-69"	1181	60639	1947.6
	"Alabama"	"01"	"Medium Metro"	"3"	"70-74 years"	"70-74"	1170	44058	2655.6
	"Alabama"	"01"	"Medium Metro"	"3"	"75-79 years"	"75-79"	1350	32560	4146.2
	"Alabama"	"01"	"Medium Metro"	"3"	"80-84 years"	"80-84"	1474	22026	6692.1
	"Alabama"	"01"	"Medium Metro"	"3"	"85-89 years"	"85-89"	1490	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"90-94 years"	"90-94"	1049	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"95-99 years"	"95-99"	334	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"100+ years"	"100+"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"< 1 year"	"1"	117	14273	819.7
	"Alabama"	"01"	"Small Metro"	"4"	"1-4 years"	"1-4"	21	58517	35.9
	"Alabama"	"01"	"Small Metro"	"4"	"5-9 years"	"5-9"	14	76303	Unreliable
	"Alabama"	"01"	"Small Metro"	"4"	"10-14 years"	"10-14"	16	79238	Unreliable
	"Alabama"	"01"	"Small Metro"	"4"	"15-19 years"	"15-19"	43	86583	49.7
	"Alabama"	"01"	"Small Metro"	"4"	"20-24 years"	"20-24"	87	109170	79.7
	"Alabama"	"01"	"Small Metro"	"4"	"25-29 years"	"25-29"	99	80975	122.3
	"Alabama"	"01"	"Small Metro"	"4"	"30-34 years"	"30-34"	139	77788	178.7
	"Alabama"	"01"	"Small Metro"	"4"	"35-39 years"	"35-39"	180	74098	242.9
	"Alabama"	"01"	"Small Metro"	"4"	"40-44 years"	"40-44"	227	79446	285.7
	"Alabama"	"01"	"Small Metro"	"4"	"45-49 years"	"45-49"	363	79512	456.5
	"Alabama"	"01"	"Small Metro"	"4"	"50-54 years"	"50-54"	568	86242	658.6
	"Alabama"	"01"	"Small Metro"	"4"	"55-59 years"	"55-59"	887	84917	1044.5
	"Alabama"	"01"	"Small Metro"	"4"	"60-64 years "	"60-64"	1032	76470	1349.5
	"Alabama"	"01"	"Small Metro"	"4"	"65-69 years"	"65-69"	1272	66838	1903.1
	"Alabama"	"01"	"Small Metro"	"4"	"70-74 years"	"70-74"	1360	49279	2759.8
	"Alabama"	"01"	"Small Metro"	"4"	"75-79 years"	"75-79"	1563	35209	4439.2
	"Alabama"	"01"	"Small Metro"	"4"	"80-84 years"	"80-84"	1731	24168	7162.4
	"Alabama"	"01"	"Small Metro"	"4"	"85-89 years"	"85-89"	1694	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"90-94 years"	"90-94"	1133	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"95-99 years"	"95-99"	414	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"100+ years"	"100+"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"< 1 year"	"1"	52	6227	835.1
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"15-19 years"	"15-19"	21	34216	61.4
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"20-24 years"	"20-24"	45	37563	119.8
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"25-29 years"	"25-29"	38	32473	117.0
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"30-34 years"	"30-34"	64	32042	199.7
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"35-39 years"	"35-39"	95	31125	305.2
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"40-44 years"	"40-44"	113	34009	332.3
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"45-49 years"	"45-49"	180	33713	533.9
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"50-54 years"	"50-54"	285	37430	761.4
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"55-59 years"	"55-59"	413	37288	1107.6
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"60-64 years "	"60-64"	499	32920	1515.8
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	609	29804	2043.3
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	670	22291	3005.7
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	744	16184	4597.1
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	791	10620	7448.2
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	673	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	456	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"95-99 years"	"95-99"	146	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"100+ years"	"100+"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"< 1 year"	"1"	63	6835	921.7
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"1-4 years"	"1-4"	13	28596	Unreliable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"5-9 years"	"5-9"	18	38464	Unreliable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"10-14 years"	"10-14"	10	40458	Unreliable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"15-19 years"	"15-19"	32	40079	79.8
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"20-24 years"	"20-24"	55	41338	133.0
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"25-29 years"	"25-29"	56	34677	161.5
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"30-34 years"	"30-34"	87	35323	246.3
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"35-39 years"	"35-39"	97	35194	275.6
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"40-44 years"	"40-44"	145	39665	365.6
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"45-49 years"	"45-49"	201	40204	500.0
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"50-54 years"	"50-54"	358	44956	796.3
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"55-59 years"	"55-59"	540	45198	1194.7
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"60-64 years "	"60-64"	636	41244	1542.0
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"65-69 years"	"65-69"	769	37241	2064.9
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"70-74 years"	"70-74"	859	28674	2995.7
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"75-79 years"	"75-79"	984	21082	4667.5
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	1036	14036	7381.0
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	962	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"90-94 years"	"90-94"	640	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"95-99 years"	"95-99"	256	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"100+ years"	"100+"	59	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"< 1 year"	"1"	34	6059	561.1
	"Alaska"	"02"	"Medium Metro"	"3"	"15-19 years"	"15-19"	14	26922	Unreliable
	"Alaska"	"02"	"Medium Metro"	"3"	"20-24 years"	"20-24"	40	34172	117.1
	"Alaska"	"02"	"Medium Metro"	"3"	"25-29 years"	"25-29"	47	34926	134.6
	"Alaska"	"02"	"Medium Metro"	"3"	"30-34 years"	"30-34"	40	31349	127.6
	"Alaska"	"02"	"Medium Metro"	"3"	"35-39 years"	"35-39"	42	25211	166.6
	"Alaska"	"02"	"Medium Metro"	"3"	"40-44 years"	"40-44"	60	24849	241.5
	"Alaska"	"02"	"Medium Metro"	"3"	"45-49 years"	"45-49"	99	24496	404.1
	"Alaska"	"02"	"Medium Metro"	"3"	"50-54 years"	"50-54"	141	27823	506.8
	"Alaska"	"02"	"Medium Metro"	"3"	"55-59 years"	"55-59"	206	26579	775.0
	"Alaska"	"02"	"Medium Metro"	"3"	"60-64 years "	"60-64"	195	21350	913.3
	"Alaska"	"02"	"Medium Metro"	"3"	"65-69 years"	"65-69"	202	15020	1344.9
	"Alaska"	"02"	"Medium Metro"	"3"	"70-74 years"	"70-74"	183	9065	2018.8
	"Alaska"	"02"	"Medium Metro"	"3"	"75-79 years"	"75-79"	202	5337	3784.9
	"Alaska"	"02"	"Medium Metro"	"3"	"80-84 years"	"80-84"	243	3489	6964.7
	"Alaska"	"02"	"Medium Metro"	"3"	"85-89 years"	"85-89"	208	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"90-94 years"	"90-94"	135	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"95-99 years"	"95-99"	42	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"100+ years"	"100+"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Small Metro"	"4"	"25-29 years"	"25-29"	10	10289	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"30-34 years"	"30-34"	13	8287	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"35-39 years"	"35-39"	14	6218	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"40-44 years"	"40-44"	13	5551	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"45-49 years"	"45-49"	26	5290	491.5
	"Alaska"	"02"	"Small Metro"	"4"	"50-54 years"	"50-54"	30	6035	497.1
	"Alaska"	"02"	"Small Metro"	"4"	"55-59 years"	"55-59"	41	6014	681.7
	"Alaska"	"02"	"Small Metro"	"4"	"60-64 years "	"60-64"	45	5119	879.1
	"Alaska"	"02"	"Small Metro"	"4"	"65-69 years"	"65-69"	37	3440	1075.6
	"Alaska"	"02"	"Small Metro"	"4"	"70-74 years"	"70-74"	42	1970	2132.0
	"Alaska"	"02"	"Small Metro"	"4"	"75-79 years"	"75-79"	49	1144	4283.2
	"Alaska"	"02"	"Small Metro"	"4"	"80-84 years"	"80-84"	45	700	6428.6
	"Alaska"	"02"	"Small Metro"	"4"	"85-89 years"	"85-89"	41	Not Applicable	Not Applicable
	"Alaska"	"02"	"Small Metro"	"4"	"90-94 years"	"90-94"	32	Not Applicable	Not Applicable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"50-54 years"	"50-54"	22	3762	584.8
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"55-59 years"	"55-59"	29	3689	786.1
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"60-64 years "	"60-64"	36	3128	1150.9
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	31	2180	1422.0
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	30	1278	2347.4
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	24	752	3191.5
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	26	433	6004.6
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"95-99 years"	"95-99"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"< 1 year"	"1"	29	2953	982.1
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"15-19 years"	"15-19"	14	12981	Unreliable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"20-24 years"	"20-24"	19	13521	Unreliable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"25-29 years"	"25-29"	26	13785	188.6
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"30-34 years"	"30-34"	23	12875	178.6
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"35-39 years"	"35-39"	25	11260	222.0
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"40-44 years"	"40-44"	27	11063	244.1
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"45-49 years"	"45-49"	44	12291	358.0
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"50-54 years"	"50-54"	79	14731	536.3
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"55-59 years"	"55-59"	119	14720	808.4
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"60-64 years "	"60-64"	115	12451	923.6
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"65-69 years"	"65-69"	117	8375	1397.0
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"70-74 years"	"70-74"	119	5278	2254.6
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"75-79 years"	"75-79"	121	3082	3926.0
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	130	1939	6704.5
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	92	Not Applicable	Not Applicable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"90-94 years"	"90-94"	76	Not Applicable	Not Applicable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"95-99 years"	"95-99"	21	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"< 1 year"	"1"	344	54797	627.8
	"Arizona"	"04"	"Large Central Metro"	"1"	"1-4 years"	"1-4"	48	217722	22.0
	"Arizona"	"04"	"Large Central Metro"	"1"	"5-9 years"	"5-9"	34	290854	11.7
	"Arizona"	"04"	"Large Central Metro"	"1"	"10-14 years"	"10-14"	39	289330	13.5
	"Arizona"	"04"	"Large Central Metro"	"1"	"15-19 years"	"15-19"	117	278458	42.0
	"Arizona"	"04"	"Large Central Metro"	"1"	"20-24 years"	"20-24"	259	286805	90.3
	"Arizona"	"04"	"Large Central Metro"	"1"	"25-29 years"	"25-29"	284	294070	96.6
	"Arizona"	"04"	"Large Central Metro"	"1"	"30-34 years"	"30-34"	301	285888	105.3
	"Arizona"	"04"	"Large Central Metro"	"1"	"35-39 years"	"35-39"	389	268540	144.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"40-44 years"	"40-44"	528	274835	192.1
	"Arizona"	"04"	"Large Central Metro"	"1"	"45-49 years"	"45-49"	753	261078	288.4
	"Arizona"	"04"	"Large Central Metro"	"1"	"50-54 years"	"50-54"	1138	266588	426.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"55-59 years"	"55-59"	1577	241884	652.0
	"Arizona"	"04"	"Large Central Metro"	"1"	"60-64 years "	"60-64"	1973	210408	937.7
	"Arizona"	"04"	"Large Central Metro"	"1"	"65-69 years"	"65-69"	2346	187400	1251.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"70-74 years"	"70-74"	2620	139911	1872.6
	"Arizona"	"04"	"Large Central Metro"	"1"	"75-79 years"	"75-79"	2998	98941	3030.1
	"Arizona"	"04"	"Large Central Metro"	"1"	"80-84 years"	"80-84"	3617	69452	5207.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"85-89 years"	"85-89"	4010	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"90-94 years"	"90-94"	3194	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"95-99 years"	"95-99"	1181	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"100+ years"	"100+"	215	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"< 1 year"	"1"	29	4600	630.4
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	15	24697	Unreliable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	18	22959	Unreliable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	23	25462	90.3
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	35	28458	123.0
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	31	27375	113.2
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	56	25841	216.7
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	71	22426	316.6
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	122	23240	525.0
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	161	23255	692.3
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	221	23533	939.1
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	316	25844	1222.7
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	337	20266	1662.9
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	334	13225	2525.5
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	323	7657	4218.4
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	296	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	180	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	59	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"100+ years"	"100+"	11	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"< 1 year"	"1"	65	11820	549.9
	"Arizona"	"04"	"Medium Metro"	"3"	"1-4 years"	"1-4"	21	47855	43.9
	"Arizona"	"04"	"Medium Metro"	"3"	"10-14 years"	"10-14"	14	61451	Unreliable
	"Arizona"	"04"	"Medium Metro"	"3"	"15-19 years"	"15-19"	22	68211	32.3
	"Arizona"	"04"	"Medium Metro"	"3"	"20-24 years"	"20-24"	54	91307	59.1
	"Arizona"	"04"	"Medium Metro"	"3"	"25-29 years"	"25-29"	81	60498	133.9
	"Arizona"	"04"	"Medium Metro"	"3"	"30-34 years"	"30-34"	95	62972	150.9
	"Arizona"	"04"	"Medium Metro"	"3"	"35-39 years"	"35-39"	108	57176	188.9
	"Arizona"	"04"	"Medium Metro"	"3"	"40-44 years"	"40-44"	138	57231	241.1
	"Arizona"	"04"	"Medium Metro"	"3"	"45-49 years"	"45-49"	191	55970	341.3
	"Arizona"	"04"	"Medium Metro"	"3"	"50-54 years"	"50-54"	353	63471	556.2
	"Arizona"	"04"	"Medium Metro"	"3"	"55-59 years"	"55-59"	487	64882	750.6
	"Arizona"	"04"	"Medium Metro"	"3"	"60-64 years "	"60-64"	637	61804	1030.7
	"Arizona"	"04"	"Medium Metro"	"3"	"65-69 years"	"65-69"	762	56690	1344.2
	"Arizona"	"04"	"Medium Metro"	"3"	"70-74 years"	"70-74"	833	43708	1905.8
	"Arizona"	"04"	"Medium Metro"	"3"	"75-79 years"	"75-79"	914	31583	2894.0
	"Arizona"	"04"	"Medium Metro"	"3"	"80-84 years"	"80-84"	1212	22879	5297.4
	"Arizona"	"04"	"Medium Metro"	"3"	"85-89 years"	"85-89"	1280	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"90-94 years"	"90-94"	1038	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"95-99 years"	"95-99"	364	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"100+ years"	"100+"	74	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"< 1 year"	"1"	61	9912	615.4
	"Arizona"	"04"	"Small Metro"	"4"	"1-4 years"	"1-4"	13	40258	Unreliable
	"Arizona"	"04"	"Small Metro"	"4"	"10-14 years"	"10-14"	14	52433	Unreliable
	"Arizona"	"04"	"Small Metro"	"4"	"15-19 years"	"15-19"	32	58388	54.8
	"Arizona"	"04"	"Small Metro"	"4"	"20-24 years"	"20-24"	63	65071	96.8
	"Arizona"	"04"	"Small Metro"	"4"	"25-29 years"	"25-29"	60	52049	115.3
	"Arizona"	"04"	"Small Metro"	"4"	"30-34 years"	"30-34"	77	49062	156.9
	"Arizona"	"04"	"Small Metro"	"4"	"35-39 years"	"35-39"	93	44232	210.3
	"Arizona"	"04"	"Small Metro"	"4"	"40-44 years"	"40-44"	128	45104	283.8
	"Arizona"	"04"	"Small Metro"	"4"	"45-49 years"	"45-49"	196	47955	408.7
	"Arizona"	"04"	"Small Metro"	"4"	"50-54 years"	"50-54"	339	57039	594.3
	"Arizona"	"04"	"Small Metro"	"4"	"55-59 years"	"55-59"	533	61674	864.2
	"Arizona"	"04"	"Small Metro"	"4"	"60-64 years "	"60-64"	709	62182	1140.2
	"Arizona"	"04"	"Small Metro"	"4"	"65-69 years"	"65-69"	913	61126	1493.6
	"Arizona"	"04"	"Small Metro"	"4"	"70-74 years"	"70-74"	1094	51116	2140.2
	"Arizona"	"04"	"Small Metro"	"4"	"75-79 years"	"75-79"	1122	36632	3062.9
	"Arizona"	"04"	"Small Metro"	"4"	"80-84 years"	"80-84"	1196	23519	5085.3
	"Arizona"	"04"	"Small Metro"	"4"	"85-89 years"	"85-89"	1172	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"90-94 years"	"90-94"	810	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"95-99 years"	"95-99"	297	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"100+ years"	"100+"	47	Not Applicable	Not Applicable
	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"	"< 1 year"	"1"	19	3408	Unreliable
