"Notes"	"County"	"County Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Shelby County, AL"	"01117"	"< 1 year"	"1"	10	2365	422.8 (Unreliable)
	"Sumter County, AL"	"01119"	"< 1 year"	"1"	Suppressed	166	Suppressed
	"Talladega County, AL"	"01121"	"< 1 year"	"1"	Suppressed	842	Suppressed
	"Tallapoosa County, AL"	"01123"	"< 1 year"	"1"	Suppressed	455	Suppressed
	"Tuscaloosa County, AL"	"01125"	"< 1 year"	"1"	24	2464	974.0
	"Walker County, AL"	"01127"	"< 1 year"	"1"	Suppressed	801	Suppressed
	"Washington County, AL"	"01129"	"< 1 year"	"1"	Suppressed	165	Suppressed
	"Wilcox County, AL"	"01131"	"< 1 year"	"1"	Suppressed	137	Suppressed
	"Winston County, AL"	"01133"	"< 1 year"	"1"	Suppressed	245	Suppressed
	"Aleutians East Borough, AK"	"02013"	"< 1 year"	"1"	Suppressed	16	Suppressed
	"Aleutians West Census Area, AK"	"02016"	"< 1 year"	"1"	Suppressed	40	Suppressed
	"Anchorage Borough, AK"	"02020"	"< 1 year"	"1"	28	4702	595.5
	"Bethel Census Area, AK"	"02050"	"< 1 year"	"1"	Suppressed	431	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed
	"Denali Borough, AK"	"02068"	"< 1 year"	"1"	Suppressed	15	Suppressed
	"Dillingham Census Area, AK"	"02070"	"< 1 year"	"1"	Suppressed	90	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	"< 1 year"	"1"	Suppressed	1668	Suppressed
	"Haines Borough, AK"	"02100"	"< 1 year"	"1"	Suppressed	18	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	"< 1 year"	"1"	Suppressed	27	Suppressed
	"Juneau Borough, AK"	"02110"	"< 1 year"	"1"	Suppressed	395	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	"< 1 year"	"1"	Suppressed	698	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	"< 1 year"	"1"	Suppressed	175	Suppressed
	"Kodiak Island Borough, AK"	"02150"	"< 1 year"	"1"	Suppressed	234	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	"< 1 year"	"1"	Suppressed	39	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	"< 1 year"	"1"	Suppressed	1354	Suppressed
	"Nome Census Area, AK"	"02180"	"< 1 year"	"1"	Suppressed	204	Suppressed
	"North Slope Borough, AK"	"02185"	"< 1 year"	"1"	Suppressed	170	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	"< 1 year"	"1"	Suppressed	173	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	"< 1 year"	"1"	Suppressed	40	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"< 1 year"	"1"	Suppressed	70	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	"< 1 year"	"1"	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	"< 1 year"	"1"	Suppressed	96	Suppressed
	"Skagway Municipality, AK"	"02230"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	"< 1 year"	"1"	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	"< 1 year"	"1"	Suppressed	106	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	"< 1 year"	"1"	Suppressed	119	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	"< 1 year"	"1"	Suppressed	224	Suppressed
	"Wrangell City and Borough, AK"	"02275"	"< 1 year"	"1"	Suppressed	26	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	"< 1 year"	"1"	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	"< 1 year"	"1"	Suppressed	84	Suppressed
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	13	965	1347.2 (Unreliable)
	"Cochise County, AZ"	"04003"	"< 1 year"	"1"	Suppressed	1656	Suppressed
	"Coconino County, AZ"	"04005"	"< 1 year"	"1"	Suppressed	1655	Suppressed
	"Gila County, AZ"	"04007"	"< 1 year"	"1"	Suppressed	616	Suppressed
	"Graham County, AZ"	"04009"	"< 1 year"	"1"	Suppressed	641	Suppressed
	"Greenlee County, AZ"	"04011"	"< 1 year"	"1"	Suppressed	138	Suppressed
	"La Paz County, AZ"	"04012"	"< 1 year"	"1"	Suppressed	214	Suppressed
	"Maricopa County, AZ"	"04013"	"< 1 year"	"1"	344	54679	629.1
	"Mohave County, AZ"	"04015"	"< 1 year"	"1"	16	1769	904.5 (Unreliable)
	"Navajo County, AZ"	"04017"	"< 1 year"	"1"	11	1526	720.8 (Unreliable)
	"Pima County, AZ"	"04019"	"< 1 year"	"1"	65	12041	539.8
	"Pinal County, AZ"	"04021"	"< 1 year"	"1"	29	4575	633.9
	"Santa Cruz County, AZ"	"04023"	"< 1 year"	"1"	Suppressed	616	Suppressed
	"Yavapai County, AZ"	"04025"	"< 1 year"	"1"	11	1867	589.2 (Unreliable)
	"Yuma County, AZ"	"04027"	"< 1 year"	"1"	18	3127	575.6 (Unreliable)
	"Arkansas County, AR"	"05001"	"< 1 year"	"1"	Suppressed	218	Suppressed
	"Ashley County, AR"	"05003"	"< 1 year"	"1"	Suppressed	262	Suppressed
	"Baxter County, AR"	"05005"	"< 1 year"	"1"	Suppressed	327	Suppressed
	"Benton County, AR"	"05007"	"< 1 year"	"1"	22	3436	640.3
	"Boone County, AR"	"05009"	"< 1 year"	"1"	Suppressed	454	Suppressed
	"Bradley County, AR"	"05011"	"< 1 year"	"1"	Suppressed	122	Suppressed
	"Calhoun County, AR"	"05013"	"< 1 year"	"1"	Suppressed	46	Suppressed
	"Carroll County, AR"	"05015"	"< 1 year"	"1"	Suppressed	308	Suppressed
	"Chicot County, AR"	"05017"	"< 1 year"	"1"	Suppressed	144	Suppressed
	"Clark County, AR"	"05019"	"< 1 year"	"1"	Suppressed	241	Suppressed
	"Clay County, AR"	"05021"	"< 1 year"	"1"	Suppressed	173	Suppressed
	"Cleburne County, AR"	"05023"	"< 1 year"	"1"	Suppressed	209	Suppressed
	"Cleveland County, AR"	"05025"	"< 1 year"	"1"	Suppressed	75	Suppressed
	"Columbia County, AR"	"05027"	"< 1 year"	"1"	Suppressed	300	Suppressed
	"Conway County, AR"	"05029"	"< 1 year"	"1"	Suppressed	253	Suppressed
	"Craighead County, AR"	"05031"	"< 1 year"	"1"	12	1415	848.1 (Unreliable)
	"Crawford County, AR"	"05033"	"< 1 year"	"1"	Suppressed	801	Suppressed
	"Crittenden County, AR"	"05035"	"< 1 year"	"1"	Suppressed	762	Suppressed
	"Cross County, AR"	"05037"	"< 1 year"	"1"	Suppressed	213	Suppressed
	"Dallas County, AR"	"05039"	"< 1 year"	"1"	Suppressed	67	Suppressed
	"Desha County, AR"	"05041"	"< 1 year"	"1"	Suppressed	170	Suppressed
	"Drew County, AR"	"05043"	"< 1 year"	"1"	Suppressed	249	Suppressed
	"Faulkner County, AR"	"05045"	"< 1 year"	"1"	Suppressed	1529	Suppressed
	"Franklin County, AR"	"05047"	"< 1 year"	"1"	Suppressed	195	Suppressed
	"Fulton County, AR"	"05049"	"< 1 year"	"1"	Suppressed	106	Suppressed
	"Garland County, AR"	"05051"	"< 1 year"	"1"	Suppressed	1070	Suppressed
	"Grant County, AR"	"05053"	"< 1 year"	"1"	Suppressed	165	Suppressed
	"Greene County, AR"	"05055"	"< 1 year"	"1"	Suppressed	544	Suppressed
	"Hempstead County, AR"	"05057"	"< 1 year"	"1"	Suppressed	319	Suppressed
	"Hot Spring County, AR"	"05059"	"< 1 year"	"1"	Suppressed	332	Suppressed
	"Howard County, AR"	"05061"	"< 1 year"	"1"	Suppressed	188	Suppressed
	"Independence County, AR"	"05063"	"< 1 year"	"1"	Suppressed	458	Suppressed
	"Izard County, AR"	"05065"	"< 1 year"	"1"	Suppressed	120	Suppressed
	"Jackson County, AR"	"05067"	"< 1 year"	"1"	Suppressed	203	Suppressed
	"Jefferson County, AR"	"05069"	"< 1 year"	"1"	Suppressed	940	Suppressed
	"Johnson County, AR"	"05071"	"< 1 year"	"1"	Suppressed	348	Suppressed
	"Lafayette County, AR"	"05073"	"< 1 year"	"1"	Suppressed	80	Suppressed
	"Lawrence County, AR"	"05075"	"< 1 year"	"1"	Suppressed	197	Suppressed
	"Lee County, AR"	"05077"	"< 1 year"	"1"	Suppressed	107	Suppressed
	"Lincoln County, AR"	"05079"	"< 1 year"	"1"	Suppressed	125	Suppressed
	"Little River County, AR"	"05081"	"< 1 year"	"1"	Suppressed	154	Suppressed
	"Logan County, AR"	"05083"	"< 1 year"	"1"	Suppressed	220	Suppressed
	"Lonoke County, AR"	"05085"	"< 1 year"	"1"	11	952	1155.5 (Unreliable)
	"Madison County, AR"	"05087"	"< 1 year"	"1"	Suppressed	208	Suppressed
	"Marion County, AR"	"05089"	"< 1 year"	"1"	Suppressed	156	Suppressed
	"Miller County, AR"	"05091"	"< 1 year"	"1"	Suppressed	600	Suppressed
	"Mississippi County, AR"	"05093"	"< 1 year"	"1"	Suppressed	662	Suppressed
	"Monroe County, AR"	"05095"	"< 1 year"	"1"	Suppressed	101	Suppressed
	"Montgomery County, AR"	"05097"	"< 1 year"	"1"	Suppressed	88	Suppressed
	"Nevada County, AR"	"05099"	"< 1 year"	"1"	Suppressed	82	Suppressed
	"Newton County, AR"	"05101"	"< 1 year"	"1"	Suppressed	75	Suppressed
	"Ouachita County, AR"	"05103"	"< 1 year"	"1"	Suppressed	301	Suppressed
	"Perry County, AR"	"05105"	"< 1 year"	"1"	Suppressed	106	Suppressed
	"Phillips County, AR"	"05107"	"< 1 year"	"1"	Suppressed	313	Suppressed
	"Pike County, AR"	"05109"	"< 1 year"	"1"	Suppressed	102	Suppressed
	"Poinsett County, AR"	"05111"	"< 1 year"	"1"	Suppressed	307	Suppressed
	"Polk County, AR"	"05113"	"< 1 year"	"1"	Suppressed	239	Suppressed
	"Pope County, AR"	"05115"	"< 1 year"	"1"	Suppressed	806	Suppressed
	"Prairie County, AR"	"05117"	"< 1 year"	"1"	Suppressed	102	Suppressed
	"Pulaski County, AR"	"05119"	"< 1 year"	"1"	52	5594	929.6
	"Randolph County, AR"	"05121"	"< 1 year"	"1"	Suppressed	195	Suppressed
	"St. Francis County, AR"	"05123"	"< 1 year"	"1"	Suppressed	351	Suppressed
	"Saline County, AR"	"05125"	"< 1 year"	"1"	16	1327	1205.7 (Unreliable)
	"Scott County, AR"	"05127"	"< 1 year"	"1"	Suppressed	111	Suppressed
	"Searcy County, AR"	"05129"	"< 1 year"	"1"	Suppressed	73	Suppressed
	"Sebastian County, AR"	"05131"	"< 1 year"	"1"	15	1687	889.2 (Unreliable)
	"Sevier County, AR"	"05133"	"< 1 year"	"1"	Suppressed	289	Suppressed
	"Sharp County, AR"	"05135"	"< 1 year"	"1"	Suppressed	159	Suppressed
	"Stone County, AR"	"05137"	"< 1 year"	"1"	Suppressed	110	Suppressed
	"Union County, AR"	"05139"	"< 1 year"	"1"	Suppressed	516	Suppressed
	"Van Buren County, AR"	"05141"	"< 1 year"	"1"	Suppressed	171	Suppressed
	"Washington County, AR"	"05143"	"< 1 year"	"1"	22	3197	688.1
	"White County, AR"	"05145"	"< 1 year"	"1"	14	981	1427.1 (Unreliable)
	"Woodruff County, AR"	"05147"	"< 1 year"	"1"	Suppressed	76	Suppressed
	"Yell County, AR"	"05149"	"< 1 year"	"1"	Suppressed	253	Suppressed
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	76	19475	390.2
	"Alpine County, CA"	"06003"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed
	"Amador County, CA"	"06005"	"< 1 year"	"1"	Suppressed	282	Suppressed
	"Butte County, CA"	"06007"	"< 1 year"	"1"	12	2470	485.8 (Unreliable)
	"Calaveras County, CA"	"06009"	"< 1 year"	"1"	Suppressed	361	Suppressed
	"Colusa County, CA"	"06011"	"< 1 year"	"1"	Suppressed	300	Suppressed
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	48	12174	394.3
	"Del Norte County, CA"	"06015"	"< 1 year"	"1"	Suppressed	309	Suppressed
	"El Dorado County, CA"	"06017"	"< 1 year"	"1"	Suppressed	1597	Suppressed
	"Fresno County, CA"	"06019"	"< 1 year"	"1"	115	15677	733.6
	"Glenn County, CA"	"06021"	"< 1 year"	"1"	Suppressed	400	Suppressed
	"Humboldt County, CA"	"06023"	"< 1 year"	"1"	11	1472	747.3 (Unreliable)
	"Imperial County, CA"	"06025"	"< 1 year"	"1"	Suppressed	3114	Suppressed
	"Inyo County, CA"	"06027"	"< 1 year"	"1"	Suppressed	237	Suppressed
	"Kern County, CA"	"06029"	"< 1 year"	"1"	80	13906	575.3
	"Kings County, CA"	"06031"	"< 1 year"	"1"	12	2272	528.2 (Unreliable)
	"Lake County, CA"	"06033"	"< 1 year"	"1"	Suppressed	761	Suppressed
	"Lassen County, CA"	"06035"	"< 1 year"	"1"	Suppressed	319	Suppressed
	"Los Angeles County, CA"	"06037"	"< 1 year"	"1"	524	128716	407.1
	"Madera County, CA"	"06039"	"< 1 year"	"1"	10	2228	448.8 (Unreliable)
	"Marin County, CA"	"06041"	"< 1 year"	"1"	Suppressed	2429	Suppressed
	"Mariposa County, CA"	"06043"	"< 1 year"	"1"	Suppressed	158	Suppressed
	"Mendocino County, CA"	"06045"	"< 1 year"	"1"	12	1041	1152.7 (Unreliable)
	"Merced County, CA"	"06047"	"< 1 year"	"1"	10	4191	238.6 (Unreliable)
	"Modoc County, CA"	"06049"	"< 1 year"	"1"	Suppressed	73	Suppressed
	"Mono County, CA"	"06051"	"< 1 year"	"1"	Suppressed	154	Suppressed
	"Monterey County, CA"	"06053"	"< 1 year"	"1"	31	6395	484.8
	"Napa County, CA"	"06055"	"< 1 year"	"1"	Suppressed	1497	Suppressed
	"Nevada County, CA"	"06057"	"< 1 year"	"1"	Suppressed	856	Suppressed
	"Orange County, CA"	"06059"	"< 1 year"	"1"	126	37773	333.6
	"Placer County, CA"	"06061"	"< 1 year"	"1"	17	3684	461.5 (Unreliable)
	"Plumas County, CA"	"06063"	"< 1 year"	"1"	Suppressed	158	Suppressed
	"Riverside County, CA"	"06065"	"< 1 year"	"1"	137	30040	456.1
	"Sacramento County, CA"	"06067"	"< 1 year"	"1"	106	19492	543.8
	"San Benito County, CA"	"06069"	"< 1 year"	"1"	Suppressed	716	Suppressed
	"San Bernardino County, CA"	"06071"	"< 1 year"	"1"	184	30265	608.0
	"San Diego County, CA"	"06073"	"< 1 year"	"1"	171	43987	388.8
	"San Francisco County, CA"	"06075"	"< 1 year"	"1"	23	9060	253.9
	"San Joaquin County, CA"	"06077"	"< 1 year"	"1"	61	9816	621.4
	"San Luis Obispo County, CA"	"06079"	"< 1 year"	"1"	14	2593	539.9 (Unreliable)
	"San Mateo County, CA"	"06081"	"< 1 year"	"1"	25	8930	280.0
	"Santa Barbara County, CA"	"06083"	"< 1 year"	"1"	22	5741	383.2
	"Santa Clara County, CA"	"06085"	"< 1 year"	"1"	67	23627	283.6
	"Santa Cruz County, CA"	"06087"	"< 1 year"	"1"	13	2872	452.6 (Unreliable)
	"Shasta County, CA"	"06089"	"< 1 year"	"1"	10	2134	468.6 (Unreliable)
	"Sierra County, CA"	"06091"	"< 1 year"	"1"	Suppressed	15	Suppressed
	"Siskiyou County, CA"	"06093"	"< 1 year"	"1"	Suppressed	456	Suppressed
	"Solano County, CA"	"06095"	"< 1 year"	"1"	38	5184	733.0
	"Sonoma County, CA"	"06097"	"< 1 year"	"1"	11	4981	220.8 (Unreliable)
	"Stanislaus County, CA"	"06099"	"< 1 year"	"1"	36	7416	485.4
	"Sutter County, CA"	"06101"	"< 1 year"	"1"	Suppressed	1283	Suppressed
	"Tehama County, CA"	"06103"	"< 1 year"	"1"	Suppressed	800	Suppressed
	"Trinity County, CA"	"06105"	"< 1 year"	"1"	Suppressed	108	Suppressed
	"Tulare County, CA"	"06107"	"< 1 year"	"1"	43	7487	574.3
	"Tuolumne County, CA"	"06109"	"< 1 year"	"1"	Suppressed	460	Suppressed
	"Ventura County, CA"	"06111"	"< 1 year"	"1"	47	10229	459.5
	"Yolo County, CA"	"06113"	"< 1 year"	"1"	11	2463	446.6 (Unreliable)
	"Yuba County, CA"	"06115"	"< 1 year"	"1"	Suppressed	1180	Suppressed
	"Adams County, CO"	"08001"	"< 1 year"	"1"	37	6999	528.6
	"Alamosa County, CO"	"08003"	"< 1 year"	"1"	Suppressed	242	Suppressed
	"Arapahoe County, CO"	"08005"	"< 1 year"	"1"	45	7922	568.0
	"Archuleta County, CO"	"08007"	"< 1 year"	"1"	Suppressed	108	Suppressed
	"Baca County, CO"	"08009"	"< 1 year"	"1"	Suppressed	37	Suppressed
	"Bent County, CO"	"08011"	"< 1 year"	"1"	Suppressed	31	Suppressed
	"Boulder County, CO"	"08013"	"< 1 year"	"1"	18	2965	607.1 (Unreliable)
	"Broomfield County, CO"	"08014"	"< 1 year"	"1"	Suppressed	700	Suppressed
	"Chaffee County, CO"	"08015"	"< 1 year"	"1"	Suppressed	142	Suppressed
	"Cheyenne County, CO"	"08017"	"< 1 year"	"1"	Suppressed	26	Suppressed
	"Clear Creek County, CO"	"08019"	"< 1 year"	"1"	Suppressed	78	Suppressed
	"Conejos County, CO"	"08021"	"< 1 year"	"1"	Suppressed	126	Suppressed
	"Costilla County, CO"	"08023"	"< 1 year"	"1"	Suppressed	25	Suppressed
	"Crowley County, CO"	"08025"	"< 1 year"	"1"	Suppressed	29	Suppressed
	"Custer County, CO"	"08027"	"< 1 year"	"1"	Suppressed	22	Suppressed
	"Delta County, CO"	"08029"	"< 1 year"	"1"	Suppressed	295	Suppressed
	"Denver County, CO"	"08031"	"< 1 year"	"1"	44	9438	466.2
	"Dolores County, CO"	"08033"	"< 1 year"	"1"	Suppressed	16	Suppressed
	"Douglas County, CO"	"08035"	"< 1 year"	"1"	11	3549	309.9 (Unreliable)
	"Eagle County, CO"	"08037"	"< 1 year"	"1"	Suppressed	657	Suppressed
	"Elbert County, CO"	"08039"	"< 1 year"	"1"	Suppressed	175	Suppressed
	"El Paso County, CO"	"08041"	"< 1 year"	"1"	39	9199	424.0
	"Fremont County, CO"	"08043"	"< 1 year"	"1"	Suppressed	381	Suppressed
	"Garfield County, CO"	"08045"	"< 1 year"	"1"	Suppressed	779	Suppressed
	"Gilpin County, CO"	"08047"	"< 1 year"	"1"	Suppressed	41	Suppressed
	"Grand County, CO"	"08049"	"< 1 year"	"1"	Suppressed	126	Suppressed
	"Gunnison County, CO"	"08051"	"< 1 year"	"1"	Suppressed	137	Suppressed
	"Hinsdale County, CO"	"08053"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed
	"Huerfano County, CO"	"08055"	"< 1 year"	"1"	Suppressed	44	Suppressed
	"Jackson County, CO"	"08057"	"< 1 year"	"1"	Suppressed	17	Suppressed
	"Jefferson County, CO"	"08059"	"< 1 year"	"1"	21	5944	353.3
	"Kiowa County, CO"	"08061"	"< 1 year"	"1"	Suppressed	18	Suppressed
	"Kit Carson County, CO"	"08063"	"< 1 year"	"1"	Suppressed	95	Suppressed
	"Lake County, CO"	"08065"	"< 1 year"	"1"	Suppressed	80	Suppressed
	"La Plata County, CO"	"08067"	"< 1 year"	"1"	Suppressed	555	Suppressed
	"Larimer County, CO"	"08069"	"< 1 year"	"1"	14	3529	396.7 (Unreliable)
	"Las Animas County, CO"	"08071"	"< 1 year"	"1"	Suppressed	120	Suppressed
	"Lincoln County, CO"	"08073"	"< 1 year"	"1"	Suppressed	49	Suppressed
	"Logan County, CO"	"08075"	"< 1 year"	"1"	Suppressed	237	Suppressed
	"Mesa County, CO"	"08077"	"< 1 year"	"1"	15	1737	863.6 (Unreliable)
	"Mineral County, CO"	"08079"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed
	"Moffat County, CO"	"08081"	"< 1 year"	"1"	Suppressed	176	Suppressed
	"Montezuma County, CO"	"08083"	"< 1 year"	"1"	Suppressed	327	Suppressed
	"Montrose County, CO"	"08085"	"< 1 year"	"1"	Suppressed	482	Suppressed
	"Morgan County, CO"	"08087"	"< 1 year"	"1"	Suppressed	428	Suppressed
	"Otero County, CO"	"08089"	"< 1 year"	"1"	Suppressed	214	Suppressed
	"Ouray County, CO"	"08091"	"< 1 year"	"1"	Suppressed	35	Suppressed
	"Park County, CO"	"08093"	"< 1 year"	"1"	Suppressed	97	Suppressed
	"Phillips County, CO"	"08095"	"< 1 year"	"1"	Suppressed	63	Suppressed
	"Pitkin County, CO"	"08097"	"< 1 year"	"1"	Suppressed	130	Suppressed
	"Prowers County, CO"	"08099"	"< 1 year"	"1"	Suppressed	142	Suppressed
	"Pueblo County, CO"	"08101"	"< 1 year"	"1"	11	1906	577.1 (Unreliable)
	"Rio Blanco County, CO"	"08103"	"< 1 year"	"1"	Suppressed	66	Suppressed
	"Rio Grande County, CO"	"08105"	"< 1 year"	"1"	Suppressed	144	Suppressed
	"Routt County, CO"	"08107"	"< 1 year"	"1"	Suppressed	207	Suppressed
	"Saguache County, CO"	"08109"	"< 1 year"	"1"	Suppressed	58	Suppressed
	"San Juan County, CO"	"08111"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed
	"San Miguel County, CO"	"08113"	"< 1 year"	"1"	Suppressed	70	Suppressed
	"Sedgwick County, CO"	"08115"	"< 1 year"	"1"	Suppressed	27	Suppressed
	"Summit County, CO"	"08117"	"< 1 year"	"1"	Suppressed	269	Suppressed
	"Teller County, CO"	"08119"	"< 1 year"	"1"	Suppressed	192	Suppressed
	"Washington County, CO"	"08121"	"< 1 year"	"1"	Suppressed	47	Suppressed
	"Weld County, CO"	"08123"	"< 1 year"	"1"	17	3927	432.9 (Unreliable)
	"Yuma County, CO"	"08125"	"< 1 year"	"1"	Suppressed	145	Suppressed
	"Fairfield County, CT"	"09001"	"< 1 year"	"1"	39	10173	383.4
	"Hartford County, CT"	"09003"	"< 1 year"	"1"	61	9384	650.0
	"Litchfield County, CT"	"09005"	"< 1 year"	"1"	Suppressed	1430	Suppressed
	"Middlesex County, CT"	"09007"	"< 1 year"	"1"	Suppressed	1384	Suppressed
	"New Haven County, CT"	"09009"	"< 1 year"	"1"	52	9041	575.2
	"New London County, CT"	"09011"	"< 1 year"	"1"	Suppressed	2701	Suppressed
	"Tolland County, CT"	"09013"	"< 1 year"	"1"	Suppressed	1146	Suppressed
