"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	556	7159	7766.4
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	444	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	274	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"100+ years"	"100+"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"< 1 year"	"1"	157	17399	902.4
	"Alabama"	"01"	"Medium Metro"	"3"	"1-4 years"	"1-4"	30	65350	45.9
	"Alabama"	"01"	"Medium Metro"	"3"	"5-9 years"	"5-9"	11	82769	Unreliable
	"Alabama"	"01"	"Medium Metro"	"3"	"10-14 years"	"10-14"	18	86753	Unreliable
	"Alabama"	"01"	"Medium Metro"	"3"	"15-19 years"	"15-19"	67	92623	72.3
	"Alabama"	"01"	"Medium Metro"	"3"	"20-24 years"	"20-24"	116	87167	133.1
	"Alabama"	"01"	"Medium Metro"	"3"	"25-29 years"	"25-29"	109	85037	128.2
	"Alabama"	"01"	"Medium Metro"	"3"	"30-34 years"	"30-34"	148	76470	193.5
	"Alabama"	"01"	"Medium Metro"	"3"	"35-39 years"	"35-39"	157	82384	190.6
	"Alabama"	"01"	"Medium Metro"	"3"	"40-44 years"	"40-44"	255	86542	294.7
	"Alabama"	"01"	"Medium Metro"	"3"	"45-49 years"	"45-49"	445	95258	467.2
	"Alabama"	"01"	"Medium Metro"	"3"	"50-54 years"	"50-54"	567	88441	641.1
	"Alabama"	"01"	"Medium Metro"	"3"	"55-59 years"	"55-59"	708	75068	943.1
	"Alabama"	"01"	"Medium Metro"	"3"	"60-64 years "	"60-64"	847	61897	1368.4
	"Alabama"	"01"	"Medium Metro"	"3"	"65-69 years"	"65-69"	915	47043	1945.0
	"Alabama"	"01"	"Medium Metro"	"3"	"70-74 years"	"70-74"	1059	37309	2838.5
	"Alabama"	"01"	"Medium Metro"	"3"	"75-79 years"	"75-79"	1254	28537	4394.3
	"Alabama"	"01"	"Medium Metro"	"3"	"80-84 years"	"80-84"	1488	20378	7302.0
	"Alabama"	"01"	"Medium Metro"	"3"	"85-89 years"	"85-89"	1427	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"90-94 years"	"90-94"	860	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"95-99 years"	"95-99"	350	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medium Metro"	"3"	"100+ years"	"100+"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"< 1 year"	"1"	142	15272	929.8
	"Alabama"	"01"	"Small Metro"	"4"	"1-4 years"	"1-4"	14	57932	Unreliable
	"Alabama"	"01"	"Small Metro"	"4"	"5-9 years"	"5-9"	16	75293	Unreliable
	"Alabama"	"01"	"Small Metro"	"4"	"10-14 years"	"10-14"	17	78287	Unreliable
	"Alabama"	"01"	"Small Metro"	"4"	"15-19 years"	"15-19"	62	91438	67.8
	"Alabama"	"01"	"Small Metro"	"4"	"20-24 years"	"20-24"	99	99437	99.6
	"Alabama"	"01"	"Small Metro"	"4"	"25-29 years"	"25-29"	115	76220	150.9
	"Alabama"	"01"	"Small Metro"	"4"	"30-34 years"	"30-34"	103	69702	147.8
	"Alabama"	"01"	"Small Metro"	"4"	"35-39 years"	"35-39"	151	77873	193.9
	"Alabama"	"01"	"Small Metro"	"4"	"40-44 years"	"40-44"	259	78675	329.2
	"Alabama"	"01"	"Small Metro"	"4"	"45-49 years"	"45-49"	418	84736	493.3
	"Alabama"	"01"	"Small Metro"	"4"	"50-54 years"	"50-54"	515	84397	610.2
	"Alabama"	"01"	"Small Metro"	"4"	"55-59 years"	"55-59"	688	76445	900.0
	"Alabama"	"01"	"Small Metro"	"4"	"60-64 years "	"60-64"	855	65820	1299.0
	"Alabama"	"01"	"Small Metro"	"4"	"65-69 years"	"65-69"	981	51873	1891.2
	"Alabama"	"01"	"Small Metro"	"4"	"70-74 years"	"70-74"	1190	40915	2908.5
	"Alabama"	"01"	"Small Metro"	"4"	"75-79 years"	"75-79"	1450	32061	4522.6
	"Alabama"	"01"	"Small Metro"	"4"	"80-84 years"	"80-84"	1773	22948	7726.2
	"Alabama"	"01"	"Small Metro"	"4"	"85-89 years"	"85-89"	1640	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"90-94 years"	"90-94"	981	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"95-99 years"	"95-99"	334	Not Applicable	Not Applicable
	"Alabama"	"01"	"Small Metro"	"4"	"100+ years"	"100+"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"< 1 year"	"1"	70	7202	972.0
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"1-4 years"	"1-4"	13	27164	Unreliable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"15-19 years"	"15-19"	32	38153	83.9
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"20-24 years"	"20-24"	48	33694	142.5
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"25-29 years"	"25-29"	47	33513	140.2
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"30-34 years"	"30-34"	52	31231	166.5
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"35-39 years"	"35-39"	64	34744	184.2
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"40-44 years"	"40-44"	122	34751	351.1
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"45-49 years"	"45-49"	256	38143	671.2
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"50-54 years"	"50-54"	317	38081	832.4
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"55-59 years"	"55-59"	388	34053	1139.4
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"60-64 years "	"60-64"	443	30676	1444.1
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	536	24463	2191.1
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	598	19422	3079.0
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	721	14662	4917.5
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	825	10158	8121.7
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	771	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	454	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"95-99 years"	"95-99"	170	Not Applicable	Not Applicable
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"100+ years"	"100+"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"< 1 year"	"1"	72	8320	865.4
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"1-4 years"	"1-4"	15	31733	Unreliable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"15-19 years"	"15-19"	40	46908	85.3
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"20-24 years"	"20-24"	61	36861	165.5
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"25-29 years"	"25-29"	68	36922	184.2
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"30-34 years"	"30-34"	57	35778	159.3
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"35-39 years"	"35-39"	104	40535	256.6
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"40-44 years"	"40-44"	150	42437	353.5
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"45-49 years"	"45-49"	278	46633	596.1
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"50-54 years"	"50-54"	355	47026	754.9
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"55-59 years"	"55-59"	451	43388	1039.5
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"60-64 years "	"60-64"	548	39039	1403.7
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"65-69 years"	"65-69"	632	31453	2009.3
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"70-74 years"	"70-74"	773	25254	3060.9
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"75-79 years"	"75-79"	943	19257	4896.9
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	992	13742	7218.7
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	1010	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"90-94 years"	"90-94"	649	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"95-99 years"	"95-99"	290	Not Applicable	Not Applicable
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"100+ years"	"100+"	64	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"< 1 year"	"1"	24	5627	426.5
	"Alaska"	"02"	"Medium Metro"	"3"	"15-19 years"	"15-19"	16	28297	Unreliable
	"Alaska"	"02"	"Medium Metro"	"3"	"20-24 years"	"20-24"	22	29065	75.7
	"Alaska"	"02"	"Medium Metro"	"3"	"25-29 years"	"25-29"	29	28084	103.3
	"Alaska"	"02"	"Medium Metro"	"3"	"30-34 years"	"30-34"	25	24121	103.6
	"Alaska"	"02"	"Medium Metro"	"3"	"35-39 years"	"35-39"	55	25653	214.4
	"Alaska"	"02"	"Medium Metro"	"3"	"40-44 years"	"40-44"	65	25943	250.5
	"Alaska"	"02"	"Medium Metro"	"3"	"45-49 years"	"45-49"	89	29944	297.2
	"Alaska"	"02"	"Medium Metro"	"3"	"50-54 years"	"50-54"	143	28791	496.7
	"Alaska"	"02"	"Medium Metro"	"3"	"55-59 years"	"55-59"	162	23613	686.1
	"Alaska"	"02"	"Medium Metro"	"3"	"60-64 years "	"60-64"	146	15890	918.8
	"Alaska"	"02"	"Medium Metro"	"3"	"65-69 years"	"65-69"	195	10015	1947.1
	"Alaska"	"02"	"Medium Metro"	"3"	"70-74 years"	"70-74"	143	6206	2304.2
	"Alaska"	"02"	"Medium Metro"	"3"	"75-79 years"	"75-79"	161	4713	3416.1
	"Alaska"	"02"	"Medium Metro"	"3"	"80-84 years"	"80-84"	196	2865	6841.2
	"Alaska"	"02"	"Medium Metro"	"3"	"85-89 years"	"85-89"	149	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"90-94 years"	"90-94"	88	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medium Metro"	"3"	"95-99 years"	"95-99"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"Small Metro"	"4"	"20-24 years"	"20-24"	14	10526	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"40-44 years"	"40-44"	10	6017	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"45-49 years"	"45-49"	18	6679	Unreliable
	"Alaska"	"02"	"Small Metro"	"4"	"50-54 years"	"50-54"	24	6751	355.5
	"Alaska"	"02"	"Small Metro"	"4"	"55-59 years"	"55-59"	24	5761	416.6
	"Alaska"	"02"	"Small Metro"	"4"	"60-64 years "	"60-64"	36	3875	929.0
	"Alaska"	"02"	"Small Metro"	"4"	"65-69 years"	"65-69"	27	2245	1202.7
	"Alaska"	"02"	"Small Metro"	"4"	"70-74 years"	"70-74"	31	1430	2167.8
	"Alaska"	"02"	"Small Metro"	"4"	"75-79 years"	"75-79"	47	960	4895.8
	"Alaska"	"02"	"Small Metro"	"4"	"80-84 years"	"80-84"	40	653	6125.6
	"Alaska"	"02"	"Small Metro"	"4"	"85-89 years"	"85-89"	32	Not Applicable	Not Applicable
	"Alaska"	"02"	"Small Metro"	"4"	"90-94 years"	"90-94"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"40-44 years"	"40-44"	10	3280	Unreliable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"45-49 years"	"45-49"	17	3930	Unreliable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"50-54 years"	"50-54"	17	4053	Unreliable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"55-59 years"	"55-59"	22	3528	623.6
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"60-64 years "	"60-64"	17	2323	Unreliable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	22	1396	1575.9
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	27	875	3085.7
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	29	570	5087.7
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	27	468	5769.2
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	32	Not Applicable	Not Applicable
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"< 1 year"	"1"	33	2913	1132.9
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"15-19 years"	"15-19"	25	15150	165.0
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"20-24 years"	"20-24"	26	11925	218.0
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"25-29 years"	"25-29"	26	11493	226.2
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"30-34 years"	"30-34"	26	10510	247.4
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"35-39 years"	"35-39"	28	11260	248.7
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"40-44 years"	"40-44"	42	12842	327.1
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"45-49 years"	"45-49"	52	15163	342.9
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"50-54 years"	"50-54"	83	15852	523.6
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"55-59 years"	"55-59"	86	13684	628.5
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"60-64 years "	"60-64"	85	9293	914.7
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"65-69 years"	"65-69"	83	5893	1408.5
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"70-74 years"	"70-74"	107	3738	2862.5
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"75-79 years"	"75-79"	117	2483	4712.0
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	112	1527	7334.6
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	88	Not Applicable	Not Applicable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"90-94 years"	"90-94"	49	Not Applicable	Not Applicable
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"95-99 years"	"95-99"	18	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"< 1 year"	"1"	386	59600	647.7
	"Arizona"	"04"	"Large Central Metro"	"1"	"1-4 years"	"1-4"	72	239411	30.1
	"Arizona"	"04"	"Large Central Metro"	"1"	"5-9 years"	"5-9"	29	276990	10.5
	"Arizona"	"04"	"Large Central Metro"	"1"	"10-14 years"	"10-14"	40	274166	14.6
	"Arizona"	"04"	"Large Central Metro"	"1"	"15-19 years"	"15-19"	159	273275	58.2
	"Arizona"	"04"	"Large Central Metro"	"1"	"20-24 years"	"20-24"	235	265179	88.6
	"Arizona"	"04"	"Large Central Metro"	"1"	"25-29 years"	"25-29"	257	290870	88.4
	"Arizona"	"04"	"Large Central Metro"	"1"	"30-34 years"	"30-34"	287	261142	109.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"35-39 years"	"35-39"	362	272994	132.6
	"Arizona"	"04"	"Large Central Metro"	"1"	"40-44 years"	"40-44"	489	258206	189.4
	"Arizona"	"04"	"Large Central Metro"	"1"	"45-49 years"	"45-49"	823	257924	319.1
	"Arizona"	"04"	"Large Central Metro"	"1"	"50-54 years"	"50-54"	1058	231239	457.5
	"Arizona"	"04"	"Large Central Metro"	"1"	"55-59 years"	"55-59"	1274	200975	633.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"60-64 years "	"60-64"	1646	172441	954.5
	"Arizona"	"04"	"Large Central Metro"	"1"	"65-69 years"	"65-69"	1753	132867	1319.4
	"Arizona"	"04"	"Large Central Metro"	"1"	"70-74 years"	"70-74"	2124	102664	2068.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"75-79 years"	"75-79"	2722	83474	3260.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"80-84 years"	"80-84"	3655	63143	5788.4
	"Arizona"	"04"	"Large Central Metro"	"1"	"85-89 years"	"85-89"	3743	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"90-94 years"	"90-94"	2511	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"95-99 years"	"95-99"	923	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Central Metro"	"1"	"100+ years"	"100+"	174	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"< 1 year"	"1"	33	5938	555.7
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	10	19940	Unreliable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	29	19054	152.2
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	24	25666	93.5
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	26	25866	100.5
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	33	24445	135.0
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	43	20868	206.1
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	74	20767	356.3
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	96	19586	490.1
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	153	18709	817.8
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	158	18829	839.1
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	183	16364	1118.3
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	232	12412	1869.2
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	266	8511	3125.4
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	274	5278	5191.4
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	203	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	106	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	54	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"100+ years"	"100+"	11	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"< 1 year"	"1"	100	13129	761.7
	"Arizona"	"04"	"Medium Metro"	"3"	"1-4 years"	"1-4"	26	51393	50.6
	"Arizona"	"04"	"Medium Metro"	"3"	"5-9 years"	"5-9"	13	60032	Unreliable
	"Arizona"	"04"	"Medium Metro"	"3"	"15-19 years"	"15-19"	54	71734	75.3
	"Arizona"	"04"	"Medium Metro"	"3"	"20-24 years"	"20-24"	86	73187	117.5
	"Arizona"	"04"	"Medium Metro"	"3"	"25-29 years"	"25-29"	71	68388	103.8
	"Arizona"	"04"	"Medium Metro"	"3"	"30-34 years"	"30-34"	75	57542	130.3
	"Arizona"	"04"	"Medium Metro"	"3"	"35-39 years"	"35-39"	92	59418	154.8
	"Arizona"	"04"	"Medium Metro"	"3"	"40-44 years"	"40-44"	153	59311	258.0
	"Arizona"	"04"	"Medium Metro"	"3"	"45-49 years"	"45-49"	259	65818	393.5
	"Arizona"	"04"	"Medium Metro"	"3"	"50-54 years"	"50-54"	369	66439	555.4
	"Arizona"	"04"	"Medium Metro"	"3"	"55-59 years"	"55-59"	465	61999	750.0
	"Arizona"	"04"	"Medium Metro"	"3"	"60-64 years "	"60-64"	526	53669	980.1
	"Arizona"	"04"	"Medium Metro"	"3"	"65-69 years"	"65-69"	596	42605	1398.9
	"Arizona"	"04"	"Medium Metro"	"3"	"70-74 years"	"70-74"	702	33567	2091.3
	"Arizona"	"04"	"Medium Metro"	"3"	"75-79 years"	"75-79"	994	28109	3536.2
	"Arizona"	"04"	"Medium Metro"	"3"	"80-84 years"	"80-84"	1181	21408	5516.6
	"Arizona"	"04"	"Medium Metro"	"3"	"85-89 years"	"85-89"	1234	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"90-94 years"	"90-94"	808	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"95-99 years"	"95-99"	316	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medium Metro"	"3"	"100+ years"	"100+"	55	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"< 1 year"	"1"	67	11578	578.7
	"Arizona"	"04"	"Small Metro"	"4"	"1-4 years"	"1-4"	14	44298	Unreliable
	"Arizona"	"04"	"Small Metro"	"4"	"5-9 years"	"5-9"	11	52310	Unreliable
	"Arizona"	"04"	"Small Metro"	"4"	"10-14 years"	"10-14"	10	56741	Unreliable
	"Arizona"	"04"	"Small Metro"	"4"	"15-19 years"	"15-19"	47	63625	73.9
	"Arizona"	"04"	"Small Metro"	"4"	"20-24 years"	"20-24"	55	57074	96.4
	"Arizona"	"04"	"Small Metro"	"4"	"25-29 years"	"25-29"	57	49191	115.9
	"Arizona"	"04"	"Small Metro"	"4"	"30-34 years"	"30-34"	44	44159	99.6
	"Arizona"	"04"	"Small Metro"	"4"	"35-39 years"	"35-39"	74	46854	157.9
	"Arizona"	"04"	"Small Metro"	"4"	"40-44 years"	"40-44"	127	50275	252.6
	"Arizona"	"04"	"Small Metro"	"4"	"45-49 years"	"45-49"	229	57445	398.6
	"Arizona"	"04"	"Small Metro"	"4"	"50-54 years"	"50-54"	339	60188	563.2
	"Arizona"	"04"	"Small Metro"	"4"	"55-59 years"	"55-59"	464	58601	791.8
	"Arizona"	"04"	"Small Metro"	"4"	"60-64 years "	"60-64"	577	56039	1029.6
	"Arizona"	"04"	"Small Metro"	"4"	"65-69 years"	"65-69"	738	50771	1453.6
	"Arizona"	"04"	"Small Metro"	"4"	"70-74 years"	"70-74"	875	40109	2181.6
	"Arizona"	"04"	"Small Metro"	"4"	"75-79 years"	"75-79"	1082	29830	3627.2
	"Arizona"	"04"	"Small Metro"	"4"	"80-84 years"	"80-84"	1240	19971	6209.0
	"Arizona"	"04"	"Small Metro"	"4"	"85-89 years"	"85-89"	1030	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"90-94 years"	"90-94"	683	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"95-99 years"	"95-99"	205	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"100+ years"	"100+"	33	Not Applicable	Not Applicable
	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"	"< 1 year"	"1"	30	3897	769.8
	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"	"15-19 years"	"15-19"	21	20879	100.6
